H,J,Y,zpp,ip,r,V,B,u,blend
2.327610778808593750e+01,2.348602294921875000e+01,2.367557334899902344e+01,2.362292861938476562e+01,2.386677932739257812e+01,2.410590362548828125e+01,2.435878562927246094e+01,2.531388664245605469e+01,2.545196342468261719e+01,0.000000000000000000e+00
2.053832244873046875e+01,2.092641639709472656e+01,2.143953514099121094e+01,2.161247062683105469e+01,2.242074966430664062e+01,2.370200729370117188e+01,2.430984687805175781e+01,2.568853950500488281e+01,2.596950149536132812e+01,0.000000000000000000e+00
2.299280929565429688e+01,2.311881256103515625e+01,2.336037063598632812e+01,2.327377319335937500e+01,2.349416732788085938e+01,2.384613227844238281e+01,2.420443153381347656e+01,2.498546600341796875e+01,2.483020401000976562e+01,0.000000000000000000e+00
2.169905090332031250e+01,2.194269371032714844e+01,2.218406295776367188e+01,2.229597091674804688e+01,2.270483016967773438e+01,2.342424964904785156e+01,2.369815444946289062e+01,2.443894767761230469e+01,2.451669502258300781e+01,0.000000000000000000e+00
2.235156822204589844e+01,2.258858871459960938e+01,2.276770591735839844e+01,2.292022895812988281e+01,2.352528381347656250e+01,2.371730232238769531e+01,2.385334777832031250e+01,2.418367195129394531e+01,2.417449951171875000e+01,0.000000000000000000e+00
2.294092178344726562e+01,2.306860733032226562e+01,2.316300201416015625e+01,2.333689689636230469e+01,2.394655036926269531e+01,2.442110443115234375e+01,2.471189308166503906e+01,2.514238166809082031e+01,2.516328430175781250e+01,0.000000000000000000e+00
2.319753265380859375e+01,2.355316162109375000e+01,2.409719657897949219e+01,2.409475517272949219e+01,2.443382263183593750e+01,2.470082855224609375e+01,2.480588722229003906e+01,2.516906547546386719e+01,2.582830810546875000e+01,0.000000000000000000e+00
2.220923805236816406e+01,2.282361602783203125e+01,2.301940345764160156e+01,2.307237434387207031e+01,2.321760559082031250e+01,2.335996437072753906e+01,2.344362449645996094e+01,2.418782997131347656e+01,2.470698928833007812e+01,0.000000000000000000e+00
2.330871200561523438e+01,2.345625686645507812e+01,2.343391609191894531e+01,2.389526748657226562e+01,2.401503562927246094e+01,2.440559768676757812e+01,2.471882057189941406e+01,2.584496879577636719e+01,2.590791511535644531e+01,0.000000000000000000e+00
2.295000267028808594e+01,2.336689376831054688e+01,2.463455963134765625e+01,2.414073753356933594e+01,2.443137741088867188e+01,2.447140502929687500e+01,2.447655487060546875e+01,2.501992416381835938e+01,2.532473373413085938e+01,0.000000000000000000e+00
2.263216781616210938e+01,2.274760627746582031e+01,2.301424789428710938e+01,2.307111549377441406e+01,2.376547431945800781e+01,2.421354675292968750e+01,2.443897056579589844e+01,2.505150222778320312e+01,2.493254852294921875e+01,0.000000000000000000e+00
2.343790626525878906e+01,2.332981109619140625e+01,2.359436416625976562e+01,2.379673576354980469e+01,2.408461380004882812e+01,2.446108055114746094e+01,2.493281364440917969e+01,2.615573120117187500e+01,2.619324684143066406e+01,0.000000000000000000e+00
