H,J,Y,zpp,ip,r,V,B,u,blend
2.353044319152832031e+01,2.337496566772460938e+01,2.315433692932128906e+01,2.348530960083007812e+01,2.375197029113769531e+01,2.387122726440429688e+01,2.404001998901367188e+01,2.490138053894042969e+01,2.508878135681152344e+01,1.000000000000000000e+00
2.377783966064453125e+01,2.322913551330566406e+01,2.338069343566894531e+01,2.374278831481933594e+01,2.388176536560058594e+01,2.404583549499511719e+01,2.409959793090820312e+01,2.447077560424804688e+01,2.465366172790527344e+01,1.000000000000000000e+00
2.364176177978515625e+01,2.359209442138671875e+01,2.433268928527832031e+01,2.405243682861328125e+01,2.421688461303710938e+01,2.434723091125488281e+01,2.439843368530273438e+01,2.473693656921386719e+01,2.474402999877929688e+01,1.000000000000000000e+00
2.334137535095214844e+01,2.339177513122558594e+01,2.383694076538085938e+01,2.384726333618164062e+01,2.428506088256835938e+01,2.438388061523437500e+01,2.447497558593750000e+01,2.466080474853515625e+01,2.476069450378417969e+01,1.000000000000000000e+00
2.286844253540039062e+01,2.267690277099609375e+01,2.269449043273925781e+01,2.279034996032714844e+01,2.314408111572265625e+01,2.356676483154296875e+01,2.368737792968750000e+01,2.400448417663574219e+01,2.390611076354980469e+01,1.000000000000000000e+00
2.297733116149902344e+01,2.386881256103515625e+01,2.383167266845703125e+01,2.410882186889648438e+01,2.408646583557128906e+01,2.424143791198730469e+01,2.439137649536132812e+01,2.506625938415527344e+01,2.568880081176757812e+01,1.000000000000000000e+00
2.398233032226562500e+01,2.401958656311035156e+01,2.488663101196289062e+01,2.448823738098144531e+01,2.452783966064453125e+01,2.457057571411132812e+01,2.453139305114746094e+01,2.486844444274902344e+01,2.492233085632324219e+01,1.000000000000000000e+00
2.254667854309082031e+01,2.302583122253417969e+01,2.362359046936035156e+01,2.360866737365722656e+01,2.393508338928222656e+01,2.401481819152832031e+01,2.410357284545898438e+01,2.458000564575195312e+01,2.491269493103027344e+01,1.000000000000000000e+00
2.381402969360351562e+01,2.383319473266601562e+01,2.413884925842285156e+01,2.396308135986328125e+01,2.416320800781250000e+01,2.447226142883300781e+01,2.489756965637207031e+01,2.560131645202636719e+01,2.577154922485351562e+01,1.000000000000000000e+00
2.239209747314453125e+01,2.255052375793457031e+01,2.281491470336914062e+01,2.310030937194824219e+01,2.353386116027832031e+01,2.369756698608398438e+01,2.375069808959960938e+01,2.405904388427734375e+01,2.421897697448730469e+01,1.000000000000000000e+00
2.243258857727050781e+01,2.274421691894531250e+01,2.325820350646972656e+01,2.362899017333984375e+01,2.398627281188964844e+01,2.443344879150390625e+01,2.452899742126464844e+01,2.490196990966796875e+01,2.537437820434570312e+01,1.000000000000000000e+00
2.293195533752441406e+01,2.294363212585449219e+01,2.327420616149902344e+01,2.355417442321777344e+01,2.399739456176757812e+01,2.416840553283691406e+01,2.424330711364746094e+01,2.451616859436035156e+01,2.462258529663085938e+01,1.000000000000000000e+00
2.222107315063476562e+01,2.274592399597167969e+01,2.331896781921386719e+01,2.334633255004882812e+01,2.385563468933105469e+01,2.443772506713867188e+01,2.488007164001464844e+01,2.514486503601074219e+01,2.532928276062011719e+01,1.000000000000000000e+00
2.428274345397949219e+01,2.386053085327148438e+01,2.431720924377441406e+01,2.442486953735351562e+01,2.450664901733398438e+01,2.448908233642578125e+01,2.454703712463378906e+01,2.492578697204589844e+01,2.479216003417968750e+01,1.000000000000000000e+00
2.265314292907714844e+01,2.295011329650878906e+01,2.339935874938964844e+01,2.333554267883300781e+01,2.354044914245605469e+01,2.360626792907714844e+01,2.358066177368164062e+01,2.404749870300292969e+01,2.427764892578125000e+01,1.000000000000000000e+00
2.365618705749511719e+01,2.383860206604003906e+01,2.437606620788574219e+01,2.402709579467773438e+01,2.440724563598632812e+01,2.520848464965820312e+01,2.538706779479980469e+01,2.595323753356933594e+01,2.557975006103515625e+01,1.000000000000000000e+00
2.522900390625000000e+01,2.474842453002929688e+01,2.487096977233886719e+01,2.519134330749511719e+01,2.523726654052734375e+01,2.539510154724121094e+01,2.590840721130371094e+01,2.578860092163085938e+01,2.649041557312011719e+01,1.000000000000000000e+00
2.189482688903808594e+01,2.256416320800781250e+01,2.295077896118164062e+01,2.307530784606933594e+01,2.346066093444824219e+01,2.356028366088867188e+01,2.365291023254394531e+01,2.440921592712402344e+01,2.494517135620117188e+01,1.000000000000000000e+00
2.250402641296386719e+01,2.257154464721679688e+01,2.263254356384277344e+01,2.311577796936035156e+01,2.315561294555664062e+01,2.341796112060546875e+01,2.399200248718261719e+01,2.471892547607421875e+01,2.545969581604003906e+01,1.000000000000000000e+00
2.349675750732421875e+01,2.383173561096191406e+01,2.383501625061035156e+01,2.430969238281250000e+01,2.435100936889648438e+01,2.456480216979980469e+01,2.465120697021484375e+01,2.577294349670410156e+01,2.624975585937500000e+01,1.000000000000000000e+00
2.385130310058593750e+01,2.440252304077148438e+01,2.438122558593750000e+01,2.436808395385742188e+01,2.427350997924804688e+01,2.462961769104003906e+01,2.503308105468750000e+01,2.572800636291503906e+01,2.619088363647460938e+01,1.000000000000000000e+00
2.468203353881835938e+01,2.433620452880859375e+01,2.437051010131835938e+01,2.449606895446777344e+01,2.463188171386718750e+01,2.464500236511230469e+01,2.462104415893554688e+01,2.493116378784179688e+01,2.484377288818359375e+01,1.000000000000000000e+00
2.353176116943359375e+01,2.350734710693359375e+01,2.378757667541503906e+01,2.425349617004394531e+01,2.456492424011230469e+01,2.470082092285156250e+01,2.510111999511718750e+01,2.569029998779296875e+01,2.568007850646972656e+01,1.000000000000000000e+00
2.215807151794433594e+01,2.288108444213867188e+01,2.356916427612304688e+01,2.385134315490722656e+01,2.418801689147949219e+01,2.455703926086425781e+01,2.451487922668457031e+01,2.514293289184570312e+01,2.571478271484375000e+01,1.000000000000000000e+00
2.346007919311523438e+01,2.347355461120605469e+01,2.368113899230957031e+01,2.366367530822753906e+01,2.434263038635253906e+01,2.467741203308105469e+01,2.474931144714355469e+01,2.506683158874511719e+01,2.490015983581542969e+01,1.000000000000000000e+00
2.195169830322265625e+01,2.250189208984375000e+01,2.260418891906738281e+01,2.271465492248535156e+01,2.335070228576660156e+01,2.362009811401367188e+01,2.368515205383300781e+01,2.410080909729003906e+01,2.393510818481445312e+01,1.000000000000000000e+00
2.277165985107421875e+01,2.308812332153320312e+01,2.362443923950195312e+01,2.345258140563964844e+01,2.392268371582031250e+01,2.415343475341796875e+01,2.418778800964355469e+01,2.455503082275390625e+01,2.462952613830566406e+01,1.000000000000000000e+00
2.263839721679687500e+01,2.294880294799804688e+01,2.317902946472167969e+01,2.368931007385253906e+01,2.406056404113769531e+01,2.428813171386718750e+01,2.441277122497558594e+01,2.480315017700195312e+01,2.495457077026367188e+01,1.000000000000000000e+00
2.274278068542480469e+01,2.313890075683593750e+01,2.360528373718261719e+01,2.325114440917968750e+01,2.381796073913574219e+01,2.401134490966796875e+01,2.393234062194824219e+01,2.424098587036132812e+01,2.411293220520019531e+01,1.000000000000000000e+00
2.134334182739257812e+01,2.199922561645507812e+01,2.283753395080566406e+01,2.308841705322265625e+01,2.419936943054199219e+01,2.521725654602050781e+01,2.584669494628906250e+01,2.627187347412109375e+01,2.634093856811523438e+01,1.000000000000000000e+00
2.271906471252441406e+01,2.284179115295410156e+01,2.302532386779785156e+01,2.296093368530273438e+01,2.326314353942871094e+01,2.371125602722167969e+01,2.371500015258789062e+01,2.411120796203613281e+01,2.400099182128906250e+01,1.000000000000000000e+00
2.314638519287109375e+01,2.362924575805664062e+01,2.471881103515625000e+01,2.446452903747558594e+01,2.467068290710449219e+01,2.497430038452148438e+01,2.494344139099121094e+01,2.557023239135742188e+01,2.615883827209472656e+01,1.000000000000000000e+00
2.348026275634765625e+01,2.380988502502441406e+01,2.397547531127929688e+01,2.417626190185546875e+01,2.438170814514160156e+01,2.451527214050292969e+01,2.447368621826171875e+01,2.504548835754394531e+01,2.501999855041503906e+01,1.000000000000000000e+00
2.303450393676757812e+01,2.325038909912109375e+01,2.355463790893554688e+01,2.421271514892578125e+01,2.436819458007812500e+01,2.471795654296875000e+01,2.474755668640136719e+01,2.513562393188476562e+01,2.511228561401367188e+01,1.000000000000000000e+00
2.363068389892578125e+01,2.338535881042480469e+01,2.357551383972167969e+01,2.410464477539062500e+01,2.435081291198730469e+01,2.442085456848144531e+01,2.439636993408203125e+01,2.478865051269531250e+01,2.483215904235839844e+01,1.000000000000000000e+00
2.205310058593750000e+01,2.241494178771972656e+01,2.278727340698242188e+01,2.299685287475585938e+01,2.386682701110839844e+01,2.445219039916992188e+01,2.480162048339843750e+01,2.538885688781738281e+01,2.602072715759277344e+01,1.000000000000000000e+00
2.368156433105468750e+01,2.380900573730468750e+01,2.419946861267089844e+01,2.449918365478515625e+01,2.453237724304199219e+01,2.473852920532226562e+01,2.466233634948730469e+01,2.505740165710449219e+01,2.525337409973144531e+01,1.000000000000000000e+00
